GCA_963427915.1_t74_d1_B11.1	Unknown
GCA_963427925.1_p70_d1_C12.1	Unknown
GCA_963427935.1_t153_s_F10.1	Unknown
GCA_963427955.1_t151_d1_D6.1	Unknown
GCA_963427965.1_t101_srt_H8.1	Unknown
GCA_963427975.1_p50_d1_C7.1	Unknown
GCA_963427985.1_t152_d1_C9.1	Unknown
GCA_963427995.1_t95_srt_H8.1	Unknown
GCA_963428005.1_t95_srt_D7.1	Unknown
GCA_963428015.1_p56_s_H4.1	Unknown
GCA_963428035.1_t39_s_A11.1	Unknown
GCA_963428045.1_t39_s_A10.1	Unknown
GCA_963428055.1_t63_d1_F7.1	Unknown
GCA_963428075.1_p67_s_D2.1	Unknown
GCA_963428085.1_p82_d1_D5.1	Unknown
GCA_963428095.1_p37_d1_E3.1	Unknown
GCA_963428105.1_p15_s_G10.1	Unknown
GCA_963428115.1_t118_d1_A7.1	Unknown
GCA_963428135.1_t71_s_G5.1	Unknown
GCA_963428145.1_p14_d1_D11.1	Unknown
GCA_963428155.1_p36_d1_A11.1	Unknown
GCA_963428165.1_t132_d1_A7.1	Unknown
GCA_963428175.1_t108_d1_H10.1	Unknown
GCA_963428185.1_p33_d1_C3.1	Unknown
GCA_963428195.1_p74_d1_H10.1	Unknown
GCA_963428205.1_t142_s_B12.1	Unknown
GCA_963428215.1_t9_d1_H4.1	Unknown
GCA_963428225.1_t112_d1_B12.1	Unknown
GCA_963428235.1_t89_d1_D8.1	Unknown
GCA_963428245.1_t36_d1_G4.1	Unknown
GCA_963428255.1_t44_d1_G7.1	Unknown
GCA_963428265.1_t124_d1_B8.1	Unknown
GCA_963428275.1_t129_d1_D12.1	Unknown
GCA_963428285.1_t96_d1_H6.1	Unknown
GCA_963428295.1_t93_d1_G8.1	Unknown
GCA_963428305.1_p16_d1_D10.1	Unknown
GCA_963428315.1_p78_d1_A11.1	Unknown
GCA_963428335.1_t143_s_H10.1	Unknown
GCA_963428345.1_t92_d1_A7.1	Unknown
GCA_963428355.1_t95_srt_B9.1	Unknown
GCA_963428365.1_t127_d1_G9.1	Unknown
GCA_963428375.1_p33_d1_D12.1	Unknown
GCA_963428385.1_t95_srt_D5.1	Unknown
GCA_963428395.1_t157_s_D6.1	Unknown
GCA_963428405.1_t82_s_F3.1	Unknown
GCA_963428415.1_t100_d1_H5.1	Unknown
GCA_963428425.1_t145_d1_B12.1	Unknown
GCA_963428435.1_t129_d1_D6.1	Unknown
GCA_963428445.1_t128_d1_G8.1	Unknown
GCA_963428455.1_t120_d1_A11.1	Unknown
GCA_963428465.1_t13_d1_C9.1	Unknown
GCA_963428475.1_t161_d1_F2.1	Unknown
GCA_963428485.1_t146_d1_A12.1	Unknown
GCA_963428495.1_t51_d1_H5.1	Unknown
GCA_963428505.1_t101_srt_G8.1	Unknown
GCA_963428515.1_t1_s_G11.1	Unknown
GCA_963428525.1_t169_d1_G2.1	Unknown
GCA_963428535.1_t98_d1_G3.1	Unknown
GCA_963428545.1_p70_d1_A10.1	Unknown
GCA_963428555.1_t79_d1_A9.1	Unknown
GCA_963428565.1_t144_d1_E3.1	Unknown
GCA_963428575.1_t5_d1_E6.1	Unknown
GCA_963428585.1_t168_s_G11.1	Unknown
GCA_963428595.1_p55_s_E7.1	Unknown
GCA_963428605.1_p72_d1_E4.1	Unknown
GCA_963428615.1_t13_d1_D10.1	Unknown
GCA_963428625.1_t140_d1_G2.1	Unknown
GCA_963428635.1_p28_d1_H8.1	Unknown
GCA_963428655.1_p23_d1_G7.1	Unknown
GCA_963428665.1_p60_s_H2.1	Unknown
GCA_963428675.1_p63_d1_E2.1	Unknown
GCA_963428685.1_p15_s_H1.1	Unknown
GCA_963428695.1_p40_d1_C1.1	Unknown
GCA_963428705.1_t147_d1_F2.1	Unknown
GCA_963428715.1_t90_d1_F2.1	Unknown
GCA_963428725.1_p16_d1_D11.1	Unknown
GCA_963428735.1_t150_d1_H7.1	Unknown
GCA_963428745.1_t69_d1_G6.1	Unknown
GCA_963428755.1_t23_srt_H9.1	Unknown
GCA_963428765.1_t85_d1_H6.1	Unknown
GCA_963428775.1_t159_d1_D8.1	Unknown
GCA_963428785.1_t84_d1_H12.1	Unknown
GCA_963428795.1_p7_d1_E11.1	Unknown
GCA_963428805.1_p61_s_B10.1	Unknown
GCA_963428815.1_t70_s_C12.1	Unknown
GCA_963428825.1_p58_d1_B11.1	Unknown
GCA_963428835.1_t136_s_H11.1	Unknown
GCA_963428845.1_t96_d1_G3.1	Unknown
GCA_963428855.1_t55_d1_A10.1	Unknown
GCA_963428865.1_t87_d1_B6.1	Unknown
GCA_963428875.1_t36_d1_B12.1	Unknown
GCA_963428885.1_t116_d1_A10.1	Unknown
GCA_963428895.1_t117_d1_D12.1	Unknown
GCA_963428905.1_t174_s_D2.1	Unknown
GCA_963428915.1_t54_s_F4.1	Unknown
GCA_963428925.1_t13_d1_E6.1	Unknown
GCA_963428935.1_p25_d1_D5.1	Unknown
GCA_963428945.1_t89_d1_B2.1	Unknown
GCA_963428965.1_t97_d1_E6.1	Unknown
GCA_963428975.1_t151_d1_B1.1	Unknown
GCA_963428995.1_t112_d1_D1.1	Unknown
GCA_963429005.1_t71_s_H1.1	Unknown
GCA_963429015.1_p45_d1_E6.1	Unknown
GCA_963429025.1_t157_s_G6.1	Unknown
GCA_963429035.1_p15_s_G7.1	Unknown
GCA_963429055.1_t153_s_D10.1	Unknown
GCA_963429065.1_t160_d1_F3.1	Unknown
GCA_963429075.1_t71_s_D9.1	Unknown
GCA_963429085.1_t59_s_D9.1	Unknown
GCA_963429095.1_t91_d1_B3.1	Unknown
GCA_963429105.1_t59_s_A7.1	Unknown
GCA_963429115.1_t6_s_H1.1	Unknown
GCA_963429125.1_t71_s_E1.1	Unknown
GCA_963429135.1_t100_d1_D8.1	Unknown
GCA_963429145.1_p42_d1_E1.1	Unknown
GCA_963429155.1_t100_d1_A11.1	Unknown
GCA_963429165.1_p10_d1_D6.1	Unknown
GCA_963429175.1_t127_d1_H10.1	Unknown
GCA_963429185.1_t82_s_A12.1	Unknown
GCA_963429195.1_t7_d1_D12.1	Unknown
GCA_963429205.1_p10_d1_C1.1	Unknown
GCA_963429215.1_p76_s_D3.1	Unknown
GCA_963429225.1_p4_d1_B10.1	Unknown
GCA_963429235.1_t168_s_G9.1	Unknown
GCA_963429245.1_t139_d1_E1.1	Unknown
GCA_963429265.1_t75_d1_B6.1	Unknown
GCA_963429275.1_t107_d1_B12.1	Unknown
GCA_963429285.1_t157_s_C6.1	Unknown
GCA_963429295.1_p82_d1_G3.1	Unknown
GCA_963429315.1_p43_d1_D9.1	Unknown
GCA_963429325.1_t117_d1_F9.1	Unknown
GCA_963429335.1_p70_d1_F5.1	Unknown
GCA_963429355.1_p51_d1_A12.1	Unknown
GCA_963429365.1_p24_d1_E4.1	Unknown
GCA_963429375.1_p63_d1_B1.1	Unknown
GCA_963429415.1_p74_d1_G9.1	Unknown
GCA_963429425.1_p84_s_D12.1	Unknown
GCA_963429435.1_t93_d1_C10.1	Unknown
GCA_963429445.1_t154_d1_B12.1	Unknown
GCA_963429455.1_t128_d1_C5.1	Unknown
GCA_963429465.1_p78_d1_H11.1	Unknown
GCA_963429475.1_p16_d1_D3.1	Unknown
GCA_963429485.1_t158_s_D8.1	Unknown
GCA_963429495.1_p78_d1_G2.1	Unknown
GCA_963429505.1_t90_d1_D6.1	Unknown
GCA_963429515.1_t156_s_F11.1	Unknown
GCA_963429525.1_t36_d1_H5.1	Unknown
GCA_963429535.1_p69_s_H4.1	Unknown
GCA_963429545.1_t108_d1_C9.1	Unknown
GCA_963429565.1_t116_d1_B12.1	Unknown
GCA_963429575.1_t136_s_D2.1	Unknown
GCA_963429585.1_t118_d1_F3.1	Unknown
GCA_963429595.1_t118_d1_A8.1	Unknown
GCA_963429605.1_t146_d1_G8.1	Unknown
GCA_963429615.1_p20_s_A10.1	Unknown
GCA_963429625.1_t63_d1_B11.1	Unknown
GCA_963429645.1_t136_s_H9.1	Unknown
GCA_963429655.1_t90_d1_G5.1	Unknown
GCA_963429665.1_t132_d1_D10.1	Unknown
GCA_963429675.1_t98_d1_A9.1	Unknown
GCA_963429695.1_p43_d1_F8.1	Unknown
GCA_963429705.1_t96_d1_G6.1	Unknown
GCA_963429715.1_p77_s_C6.1	Unknown
GCA_963429735.1_t7_d1_B3.1	Unknown
GCA_963429745.1_t141_s_G8.1	Unknown
GCA_963429755.1_t77_d1_B2.1	Unknown
GCA_963429765.1_t5_d1_B2.1	Unknown
GCA_963429775.1_p18_d1_B7.1	Unknown
GCA_963429785.1_t150_d1_C5.1	Unknown
GCA_963429795.1_t79_d1_E10.1	Unknown
GCA_963429805.1_t147_d1_D8.1	Unknown
GCA_963429815.1_t82_s_F11.1	Unknown
GCA_963429825.1_p69_s_G6.1	Unknown
GCA_963429835.1_p15_s_E8.1	Unknown
GCA_963429845.1_t90_d1_D4.1	Unknown
GCA_963429855.1_t84_d1_E3.1	Unknown
GCA_963429865.1_t116_d1_B8.1	Unknown
GCA_963429875.1_t144_d1_D9.1	Unknown
GCA_963429885.1_t6_s_H5.1	Unknown
GCA_963429895.1_p77_s_C2.1	Unknown
GCA_963429905.1_t122_d1_D2.1	Unknown
GCA_963429915.1_t10_s_F12.1	Unknown
GCA_963429925.1_t107_d1_C1.1	Unknown
GCA_963429935.1_t128_d1_C12.1	Unknown
GCA_963429945.1_t85_d1_E6.1	Unknown
GCA_963429955.1_t73_s_G11.1	Unknown
GCA_963429965.1_t169_d1_H8.1	Unknown
GCA_963429975.1_t140_d1_D9.1	Unknown
GCA_963429985.1_t158_s_C11.1	Unknown
GCA_963429995.1_p49_srt_G7.1	Unknown
GCA_963430005.1_t59_s_F1.1	Unknown
GCA_963430015.1_t97_d1_B11.1	Unknown
GCA_963430035.1_p80_d1_G6.1	Unknown
GCA_963430045.1_t101_srt_H11.1	Unknown
GCA_963430055.1_t139_d1_H5.1	Unknown
GCA_963430065.1_t48_s_C9.1	Unknown
GCA_963430075.1_t112_d1_G5.1	Unknown
GCA_963430085.1_t128_d1_F9.1	Unknown
GCA_963430095.1_t152_d1_C1.1	Unknown
GCA_963430105.1_p24_d1_H12.1	Unknown
GCA_963430125.1_t153_s_B10.1	Unknown
GCA_963430145.1_t23_srt_B7.1	Unknown
GCA_963430155.1_t174_s_B4.1	Unknown
GCA_963430165.1_p85_d1_E9.1	Unknown
GCA_963430175.1_t73_s_B2.1	Unknown
GCA_963430185.1_t153_s_D7.1	Unknown
GCA_963430195.1_t110_d1_B9.1	Unknown
GCA_963430205.1_t83_d1_A10.1	Unknown
GCA_963430215.1_p23_d1_A9.1	Unknown
GCA_963430225.1_t33_s_G4.1	Unknown
GCA_963430235.1_t146_d1_A7.1	Unknown
GCA_963430245.1_p59_s_F1.1	Unknown
GCA_963430255.1_t113_d1_G4.1	Unknown
GCA_963430265.1_p26_d1_F4.1	Unknown
GCA_963430275.1_p9_s_H12.1	Unknown
GCA_963430285.1_p4_d1_D4.1	Unknown
GCA_963430295.1_t148_d1_G3.1	Unknown
GCA_963430315.1_t7_d1_B6.1	Unknown
GCA_963430325.1_t118_d1_E9.1	Unknown
GCA_963430345.1_p20_s_D4.1	Unknown
GCA_963430355.1_p17_d1_E1.1	Unknown
GCA_963430365.1_p9_s_G9.1	Unknown
GCA_963430375.1_t74_d1_G1.1	Unknown
GCA_963430385.1_t143_s_B3.1	Unknown
GCA_963430395.1_t149_d1_H5.1	Unknown
GCA_963430405.1_t79_d1_C4.1	Unknown
GCA_963430415.1_t82_s_D6.1	Unknown
GCA_963430425.1_t111_d1_B9.1	Unknown
GCA_963430465.1_t55_d1_G8.1	Unknown
GCA_963430475.1_t7_d1_B12.1	Unknown
GCA_963430485.1_p70_d1_C6.1	Unknown
GCA_963430495.1_p64_d1_C6.1	Unknown
GCA_963430515.1_p38_d1_C9.1	Unknown
GCA_963430525.1_t114_s_C9.1	Unknown
GCA_963430545.1_t120_d1_D1.1	Unknown
GCA_963430555.1_t108_d1_A8.1	Unknown
GCA_963430565.1_t162_s_A8.1	Unknown
GCA_963430575.1_t51_d1_D1.1	Unknown
GCA_963430585.1_t143_s_F9.1	Unknown
GCA_963430595.1_t147_d1_D6.1	Unknown
GCA_963430615.1_t74_d1_F12.1	Unknown
GCA_963430625.1_t114_s_C3.1	Unknown
GCA_963430645.1_t13_d1_G8.1	Unknown
GCA_963430655.1_t12_d1_F12.1	Unknown
GCA_963430665.1_t44_d1_G2.1	Unknown
GCA_963430675.1_t152_d1_B8.1	Unknown
GCA_963430705.1_t9_d1_G9.1	Unknown
GCA_963430715.1_p42_d1_H5.1	Unknown
GCA_963430725.1_p17_d1_E3.1	Unknown
GCA_963430735.1_t153_s_C11.1	Unknown
GCA_963430745.1_t113_d1_H8.1	Unknown
GCA_963430755.1_t106_d1_F6.1	Unknown
GCA_963430765.1_t148_d1_A9.1	Unknown
GCA_963430775.1_t23_srt_C2.1	Unknown
GCA_963430785.1_p68_s_D1.1	Unknown
GCA_963430795.1_p57_d1_H5.1	Unknown
GCA_963430805.1_t88_s_D8.1	Unknown
GCA_963430815.1_t24_s_G12.1	Unknown
GCA_963430825.1_t157_s_G10.1	Unknown
GCA_963430835.1_t93_d1_A8.1	Unknown
GCA_963430845.1_t140_d1_H8.1	Unknown
GCA_963430855.1_p80_d1_C7.1	Unknown
GCA_963430865.1_p51_d1_F4.1	Unknown
GCA_963430875.1_t136_s_F9.1	Unknown
GCA_963430885.1_t113_d1_A7.1	Unknown
GCA_963430895.1_t161_d1_A7.1	Unknown
GCA_963430905.1_p40_d1_C11.1	Unknown
GCA_963430925.1_t146_d1_H5.1	Unknown
GCA_963430935.1_t7_d1_B11.1	Unknown
GCA_963430945.1_t150_d1_B7.1	Unknown
GCA_963430955.1_t162_s_E5.1	Unknown
GCA_963430965.1_p45_d1_H12.1	Unknown
GCA_963430975.1_t91_d1_B4.1	Unknown
GCA_963430985.1_p26_d1_A7.1	Unknown
GCA_963430995.1_t150_d1_F2.1	Unknown
GCA_963431005.1_t129_d1_C3.1	Unknown
GCA_963431015.1_t16_s_G6.1	Unknown
GCA_963431025.1_p17_d1_D2.1	Unknown
GCA_963431035.1_t16_s_H8.1	Unknown
GCA_963431045.1_t83_d1_C4.1	Unknown
GCA_963431055.1_t49_d1_G6.1	Unknown
GCA_963431075.1_t16_s_B3.1	Unknown
GCA_963431085.1_t79_d1_B2.1	Unknown
GCA_963431095.1_t98_d1_H7.1	Unknown
GCA_963431125.1_t46_d1_G2.1	Unknown
GCA_963431135.1_t74_d1_G8.1	Unknown
GCA_963431145.1_t82_s_C9.1	Unknown
GCA_963431165.1_t88_s_H2.1	Unknown
GCA_963431175.1_t30_s_E9.1	Unknown
GCA_963431185.1_p4_d1_C12.1	Unknown
GCA_963431195.1_t120_d1_E6.1	Unknown
GCA_963431205.1_t13_d1_C12.1	Unknown
GCA_963431215.1_p7_d1_H6.1	Unknown
GCA_963431225.1_p4_d1_F6.1	Unknown
GCA_963431235.1_p76_s_E7.1	Unknown
GCA_963431245.1_p7_d1_G8.1	Unknown
GCA_963431255.1_t116_d1_C3.1	Unknown
GCA_963431275.1_t89_d1_G6.1	Unknown
GCA_963431295.1_t69_d1_G2.1	Unknown
GCA_963431315.1_p64_d1_A11.1	Unknown
GCA_963431325.1_p50_d1_A8.1	Unknown
GCA_963431335.1_t141_s_H10.1	Unknown
GCA_963431345.1_t77_d1_E9.1	Unknown
GCA_963431355.1_t39_s_F2.1	Unknown
GCA_963431365.1_p23_d1_D12.1	Unknown
GCA_963431375.1_p14_d1_A8.1	Unknown
GCA_963431385.1_t12_d1_H4.1	Unknown
GCA_963431395.1_p33_d1_B8.1	Unknown
GCA_963431405.1_p85_d1_B3.1	Unknown
GCA_963431435.1_t96_d1_H12.1	Unknown
GCA_963431445.1_p77_s_B9.1	Unknown
GCA_963431455.1_p26_d1_H6.1	Unknown
GCA_963431465.1_p57_d1_H2.1	Unknown
GCA_963431475.1_t52_d1_H8.1	Unknown
GCA_963431485.1_t158_s_B5.1	Unknown
GCA_963431495.1_t107_d1_B7.1	Unknown
GCA_963431505.1_t33_s_B12.1	Unknown
GCA_963431515.1_p16_d1_H10.1	Unknown
GCA_963431525.1_t169_d1_E7.1	Unknown
GCA_963431535.1_t150_d1_E5.1	Unknown
GCA_963431545.1_t96_d1_B4.1	Unknown
GCA_963431555.1_t155_d1_F10.1	Unknown
GCA_963431565.1_t142_s_H9.1	Unknown
GCA_963431585.1_p78_d1_H3.1	Unknown
GCA_963431595.1_t100_d1_D4.1	Unknown
GCA_963431605.1_p71_d1_H8.1	Unknown
GCA_963431615.1_t152_d1_B5.1	Unknown
GCA_963431625.1_t124_d1_G12.1	Unknown
GCA_963431635.1_t92_d1_D8.1	Unknown
GCA_963431645.1_p72_d1_G9.1	Unknown
GCA_963431655.1_t55_d1_G6.1	Unknown
GCA_963431665.1_p6_d1_D4.1	Unknown
GCA_963431675.1_t93_d1_D11.1	Unknown
GCA_963431685.1_p82_d1_E9.1	Unknown
GCA_963431705.1_t49_d1_G10.1	Unknown
GCA_963431715.1_p46_d1_H12.1	Unknown
GCA_963431735.1_t128_d1_H7.1	Unknown
GCA_963431745.1_t156_s_G11.1	Unknown
GCA_963431775.1_p9_s_F7.1	Unknown
GCA_963431785.1_t73_s_B10.1	Unknown
GCA_963431805.1_t48_s_G8.1	Unknown
GCA_963431815.1_t113_d1_B5.1	Unknown
GCA_963431825.1_t106_d1_B2.1	Unknown
GCA_963431835.1_t144_d1_B10.1	Unknown
GCA_963431845.1_p40_d1_F5.1	Unknown
GCA_963431855.1_t74_d1_E1.1	Unknown
GCA_963431865.1_t69_d1_H12.1	Unknown
GCA_963431875.1_t55_d1_B12.1	Unknown
GCA_963431885.1_t114_s_H4.1	Unknown
GCA_963431895.1_t10_s_C4.1	Unknown
GCA_963431905.1_T66_srt_F1.1	Unknown
GCA_963431915.1_t39_s_C10.1	Unknown
GCA_963431925.1_t12_d1_C1.1	Unknown
GCA_963431935.1_t87_d1_D8.1	Unknown
GCA_963431945.1_t110_d1_C5.1	Unknown
GCA_963431955.1_p70_d1_D8.1	Unknown
GCA_963431965.1_t125_d1_C11.1	Unknown
GCA_963431985.1_p85_d1_G1.1	Unknown
GCA_963431995.1_p14_d1_F12.1	Unknown
GCA_963432005.1_p36_d1_F11.1	Unknown
GCA_963432015.1_t140_d1_G8.1	Unknown
GCA_963432025.1_t160_d1_B2.1	Unknown
GCA_963432035.1_p22_d1_F2.1	Unknown
GCA_963432045.1_t91_d1_G5.1	Unknown
GCA_963432055.1_t116_d1_A11.1	Unknown
GCA_963432065.1_p50_d1_H4.1	Unknown
GCA_963432075.1_t3_d1_E7.1	Unknown
GCA_963432095.1_p6_d1_C1.1	Unknown
GCA_963432105.1_t172_s_C1.1	Unknown
GCA_963432115.1_t140_d1_C1.1	Unknown
GCA_963432125.1_t169_d1_A11.1	Unknown
GCA_963432135.1_p36_d1_H2.1	Unknown
GCA_963432145.1_t91_d1_F10.1	Unknown
GCA_963432155.1_p25_d1_D3.1	Unknown
GCA_963432165.1_t70_s_D6.1	Unknown
GCA_963432175.1_t128_d1_D12.1	Unknown
GCA_963432185.1_p81_s_B9.1	Unknown
GCA_963432195.1_t82_s_F1.1	Unknown
GCA_963432205.1_p76_s_B10.1	Unknown
GCA_963432215.1_t36_d1_B3.1	Unknown
GCA_963432225.1_t152_d1_H7.1	Unknown
GCA_963432235.1_t93_d1_A12.1	Unknown
GCA_963432245.1_p61_s_G3.1	Unknown
GCA_963432255.1_t111_d1_H5.1	Unknown
GCA_963432275.1_p16_d1_G3.1	Unknown
GCA_963432285.1_t145_d1_C8.1	Unknown
GCA_963432295.1_t78_d1_A7.1	Unknown
GCA_963432305.1_p57_d1_E8.1	Unknown
GCA_963432315.1_t7_d1_E2.1	Unknown
GCA_963432325.1_t124_d1_F7.1	Unknown
GCA_963432335.1_t63_d1_E10.1	Unknown
GCA_963432345.1_t174_s_F11.1	Unknown
GCA_963432375.1_p58_d1_H11.1	Unknown
GCA_963432395.1_t51_d1_C1.1	Unknown
GCA_963432405.1_p15_s_B12.1	Unknown
GCA_963432415.1_t51_d1_G5.1	Unknown
GCA_963432425.1_t84_d1_H1.1	Unknown
GCA_963432435.1_t54_s_E4.1	Unknown
GCA_963432445.1_t88_s_H10.1	Unknown
GCA_963432455.1_t161_d1_C1.1	Unknown
GCA_963432465.1_p25_d1_B6.1	Unknown
GCA_963432475.1_t168_s_H10.1	Unknown
GCA_963432485.1_p10_d1_H1.1	Unknown
GCA_963432505.1_t148_d1_A12.1	Unknown
GCA_963432515.1_t55_d1_G2.1	Unknown
GCA_963432525.1_p67_s_F3.1	Unknown
GCA_963432535.1_t128_d1_H12.1	Unknown
GCA_963432545.1_t136_s_A12.1	Unknown
GCA_963432555.1_p24_d1_H8.1	Unknown
GCA_963432575.1_t114_s_G3.1	Unknown
GCA_963432595.1_t172_s_A7.1	Unknown
GCA_963432605.1_t114_s_A9.1	Unknown
GCA_963432615.1_p69_s_G2.1	Unknown
GCA_963432625.1_t72_d1_E10.1	Unknown
GCA_963432645.1_t148_d1_E1.1	Unknown
GCA_963432655.1_p43_d1_C4.1	Unknown
GCA_963432665.1_t80_d1_E5.1	Unknown
GCA_963432675.1_t46_d1_A7.1	Unknown
GCA_963432685.1_t125_d1_H3.1	Unknown
GCA_963432695.1_t166_d1_E5.1	Unknown
